"date_rate","record_date","open_value"
1,"2015-12-02",41.07
2,"2015-12-03",40.64
3,"2015-12-04",40.23
6,"2015-12-07",40.92
7,"2015-12-08",40.61
8,"2015-12-09",41.25
9,"2015-12-10",40.96
10,"2015-12-11",40.75
13,"2015-12-14",40.22
14,"2015-12-15",40.75
15,"2015-12-16",41.01
16,"2015-12-17",41.55
17,"2015-12-18",40.56
20,"2015-12-21",40.51
21,"2015-12-22",41.01
22,"2015-12-23",41.62
23,"2015-12-24",41.79
27,"2015-12-28",42.02
28,"2015-12-29",42.08
29,"2015-12-30",42.36
30,"2015-12-31",41.9
34,"2016-01-04",41.06
35,"2016-01-05",40.73
36,"2016-01-06",40.24
37,"2016-01-07",40.14
38,"2016-01-08",39.22
41,"2016-01-11",38.71
42,"2016-01-12",38.43
43,"2016-01-13",38.35
44,"2016-01-14",36.94
45,"2016-01-15",36.67
49,"2016-01-19",37.64
50,"2016-01-20",36.68
51,"2016-01-21",37.35
52,"2016-01-22",37.91
55,"2016-01-25",37.4
56,"2016-01-26",37.89
57,"2016-01-27",37.39
58,"2016-01-28",37.27
59,"2016-01-29",36.44
62,"2016-02-01",37.37
63,"2016-02-02",37.18
64,"2016-02-03",37.27
65,"2016-02-04",37.15
66,"2016-02-05",37.26
69,"2016-02-08",35.61
70,"2016-02-09",34.21
71,"2016-02-10",35.63
72,"2016-02-11",35.12
73,"2016-02-12",35.84
77,"2016-02-16",36.72
78,"2016-02-17",35.22
79,"2016-02-18",37.73
80,"2016-02-19",36.98
83,"2016-02-22",37.88
84,"2016-02-23",37.64
85,"2016-02-24",36.65
86,"2016-02-25",37.62
87,"2016-02-26",37.75
90,"2016-02-29",37.59
91,"2016-03-01",37.63
92,"2016-03-02",38.49
93,"2016-03-03",38.92
94,"2016-03-04",39.14
97,"2016-03-07",39.04
98,"2016-03-08",38.97
99,"2016-03-09",38.31
100,"2016-03-10",38.17
101,"2016-03-11",38.43
104,"2016-03-14",38.98
105,"2016-03-15",38.59
106,"2016-03-16",38.09
107,"2016-03-17",39.06
108,"2016-03-18",39.33
111,"2016-03-21",40.07
112,"2016-03-22",39.56
113,"2016-03-23",39.9
114,"2016-03-24",39.16
118,"2016-03-28",39.54
119,"2016-03-29",39.35
120,"2016-03-30",40.36
121,"2016-03-31",40.01
122,"2016-04-01",39.56
125,"2016-04-04",40.32
126,"2016-04-05",39.73
127,"2016-04-06",39.29
128,"2016-04-07",39.89
129,"2016-04-08",39.69
132,"2016-04-11",39.86
133,"2016-04-12",39.47
134,"2016-04-13",39.52
135,"2016-04-14",40.86
136,"2016-04-15",40.77
139,"2016-04-18",40.72
140,"2016-04-19",41.18
141,"2016-04-20",41.42
142,"2016-04-21",41.5
143,"2016-04-22",41.98
146,"2016-04-25",41.71
147,"2016-04-26",41.82
148,"2016-04-27",41.35
149,"2016-04-28",41.25
150,"2016-04-29",40.92
153,"2016-05-02",41.2
154,"2016-05-03",41.32
155,"2016-05-04",40.81
156,"2016-05-05",40.64
157,"2016-05-06",40.86
160,"2016-05-09",41.51
161,"2016-05-10",41.5
162,"2016-05-11",42.19
163,"2016-05-12",42.59
164,"2016-05-13",42.55
167,"2016-05-16",42.61
168,"2016-05-17",44.96
169,"2016-05-18",44.45
170,"2016-05-19",44.07
171,"2016-05-20",44.86
174,"2016-05-23",44.89
175,"2016-05-24",44.76
176,"2016-05-25",45.12
177,"2016-05-26",45.58
178,"2016-05-27",45.55
182,"2016-05-31",45.79
183,"2016-06-01",45.75
184,"2016-06-02",45.91
185,"2016-06-03",45.73
188,"2016-06-06",45.72
189,"2016-06-07",45.81
190,"2016-06-08",45.75
191,"2016-06-09",45.98
192,"2016-06-10",45.73
195,"2016-06-13",45.32
196,"2016-06-14",44.7
197,"2016-06-15",45.11
198,"2016-06-16",44.72
199,"2016-06-17",45.42
202,"2016-06-20",45.57
203,"2016-06-21",46.21
204,"2016-06-22",46.15
205,"2016-06-23",46.5
206,"2016-06-24",44.56
209,"2016-06-27",43.63
210,"2016-06-28",42.67
211,"2016-06-29",43.55
212,"2016-06-30",43.68
213,"2016-07-01",44.36
217,"2016-07-05",44.31
218,"2016-07-06",43.65
219,"2016-07-07",44.47
220,"2016-07-08",44.86
223,"2016-07-11",45.61
224,"2016-07-12",45.77
225,"2016-07-13",46.64
226,"2016-07-14",46.86
227,"2016-07-15",46.96
230,"2016-07-18",46.6
231,"2016-07-19",46.67
232,"2016-07-20",46.96
233,"2016-07-21",46.98
234,"2016-07-22",46.72
237,"2016-07-25",46.49
238,"2016-07-26",46.21
239,"2016-07-27",47.0
240,"2016-07-28",47.19
241,"2016-07-29",47.49
244,"2016-08-01",48.11
245,"2016-08-02",47.71
246,"2016-08-03",47.1
247,"2016-08-04",47.16
248,"2016-08-05",47.1
251,"2016-08-08",47.57
252,"2016-08-09",47.11
253,"2016-08-10",47.51
254,"2016-08-11",47.62
255,"2016-08-12",47.97
258,"2016-08-15",48.17
259,"2016-08-16",48.27
260,"2016-08-17",48.63
261,"2016-08-18",46.88
262,"2016-08-19",46.58
265,"2016-08-22",47.63
266,"2016-08-23",47.73
267,"2016-08-24",47.74
268,"2016-08-25",46.67
269,"2016-08-26",47.41
272,"2016-08-29",47.45
273,"2016-08-30",47.66
274,"2016-08-31",47.12
275,"2016-09-01",47.03
276,"2016-09-02",47.23
280,"2016-09-06",46.9
281,"2016-09-07",47.07
282,"2016-09-08",47.07
283,"2016-09-09",46.51
286,"2016-09-12",44.59
287,"2016-09-13",45.36
288,"2016-09-14",45.01
289,"2016-09-15",44.86
290,"2016-09-16",45.39
293,"2016-09-19",44.9
294,"2016-09-20",45.33
295,"2016-09-21",45.98
296,"2016-09-22",46.38
297,"2016-09-23",46.43
300,"2016-09-26",46.46
301,"2016-09-27",46.53
302,"2016-09-28",46.9
303,"2016-09-29",47.05
304,"2016-09-30",46.5
307,"2016-10-03",46.82
308,"2016-10-04",47.07
309,"2016-10-05",47.04
310,"2016-10-06",47.01
311,"2016-10-07",47.33
314,"2016-10-10",47.58
315,"2016-10-11",47.19
316,"2016-10-12",45.78
317,"2016-10-13",44.84
318,"2016-10-14",45.38
321,"2016-10-17",45.08
322,"2016-10-18",45.7
323,"2016-10-19",45.41
324,"2016-10-20",46.0
325,"2016-10-21",45.67
328,"2016-10-24",45.88
329,"2016-10-25",45.26
330,"2016-10-26",43.42
331,"2016-10-27",43.97
332,"2016-10-28",43.38
335,"2016-10-31",43.33
336,"2016-11-01",43.73
337,"2016-11-02",43.47
338,"2016-11-03",43.33
339,"2016-11-04",43.69
342,"2016-11-07",44.99
343,"2016-11-08",45.48
344,"2016-11-09",45.41
345,"2016-11-10",46.6
346,"2016-11-11",46.77
349,"2016-11-14",46.66
350,"2016-11-15",45.33
351,"2016-11-16",46.3
352,"2016-11-17",46.16
353,"2016-11-18",45.91
356,"2016-11-21",45.22
357,"2016-11-22",44.94
358,"2016-11-23",44.18
360,"2016-11-25",44.74
363,"2016-11-28",44.52
364,"2016-11-29",43.6
365,"2016-11-30",44.79
366,"2016-12-01",44.08
367,"2016-12-02",43.27
370,"2016-12-05",44.21
371,"2016-12-06",44.58
372,"2016-12-07",44.56
373,"2016-12-08",44.99
374,"2016-12-09",45.91
377,"2016-12-12",46.18
378,"2016-12-13",46.31
379,"2016-12-14",46.43
380,"2016-12-15",46.08
381,"2016-12-16",46.61
384,"2016-12-19",45.89
385,"2016-12-20",45.75
386,"2016-12-21",46.21
387,"2016-12-22",45.93
388,"2016-12-23",46.08
392,"2016-12-27",46.37
393,"2016-12-28",46.51
394,"2016-12-29",45.68
395,"2016-12-30",45.76
399,"2017-01-03",45.93
400,"2017-01-04",46.93
401,"2017-01-05",47.05
402,"2017-01-06",46.63
405,"2017-01-09",48.01
406,"2017-01-10",48.34
407,"2017-01-11",48.03
408,"2017-01-12",48.9
409,"2017-01-13",48.6
413,"2017-01-17",48.37
414,"2017-01-18",48.67
415,"2017-01-19",48.04
416,"2017-01-20",47.83
419,"2017-01-23",47.6
420,"2017-01-24",47.77
421,"2017-01-25",47.6
422,"2017-01-26",48.42
423,"2017-01-27",48.32
426,"2017-01-30",48.48
427,"2017-01-31",48.04
428,"2017-02-01",48.93
429,"2017-02-02",48.88
430,"2017-02-03",49.09
433,"2017-02-06",49.13
434,"2017-02-07",49.42
435,"2017-02-08",49.37
436,"2017-02-09",50.1
